item,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04
Design and Validation of a Thermal Disinfection Unit for Wastewater using Biogas in Humanitarian Crisis Situations,5,9,71,15,14,11,6,9,5,7,17,36,7,9,8,16,5,17,27,4
"Research Beyond the Lab, Spring Term 2022, Global Health Engineering, ETH Zurich",16,14,25,24,6,7,15,2,11,12,5,1,8,5,4,1,3,3,5,2
"“I have just accepted it”: Hierarchies of Power and Healthcare Waste Management Practices in Blantyre, Malawi",4,3,7,1,2,4,3,9,11,16,14,23,14,12,3,7,2,6,2,2
"Optimization of solid waste collections in Blantyre, Malawi",2,6,2,6,1,17,10,7,7,5,9,13,4,3,0,4,2,1,3,2
Consumption: the missing link towards phosphorus security,2,0,0,0,0,2,1,2,1,3,2,2,1,1,0,1,0,0,0,2
Effect of fruit and vegetable waste on anaerobic digestion using faecal sludge as primary feedstock,9,9,82,37,19,13,11,11,15,14,17,11,13,8,8,12,18,8,13,2
Low-cost compost screening technology to improve trash separation,8,6,10,20,14,5,12,10,13,19,8,10,10,9,8,7,10,6,13,1
Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,4,9,5,5,5,10,6,8,3,3,10,7,12,11,0,6,2,0,3,1
"Improving Market Wash Stations Through Creative and Contextual Design in Durban, South Africa",8,11,11,25,11,14,13,9,11,12,8,16,13,12,14,13,10,10,20,7
Humanitarian Sanitation Solution,21,11,107,27,26,5,11,15,8,5,12,11,4,5,1,3,7,20,11,5
"wasteskipsblantyre: Locations of Public Waste Skips in Blantyre, Malawi",19,4,1,1,0,9,37,2,3,6,4,5,2,3,0,1,0,0,1,2
Detection of Contamination in Biowaste,0,0,0,0,49,23,20,28,20,19,13,26,20,25,19,19,14,12,30,7
Is Switzerland spending its climate funds wisely?,0,0,13,5,7,1,3,0,2,9,3,4,6,3,1,1,0,0,2,1
"qechairquality: Air Quality Data at Queen Elizabeth Central Hospital (QECH), Blantyre, Malawi",10,1,1,1,1,1,1,1,2,1,3,3,3,3,1,1,1,2,2,2
Evaluation of the waste management system at the Züri Fäscht,0,0,0,0,48,28,33,24,31,25,28,27,25,14,21,15,17,17,20,5
Designing a manual press for blackwater dewatering,0,0,0,0,18,28,20,43,25,24,24,14,18,11,13,22,12,4,12,5
durbanplasticwaste: Durban (South Africa) Plastic Waste Data,0,0,0,0,0,2,8,2,1,4,4,32,15,11,19,28,10,10,12,9
"Design of an HDPE bottle collection and pre-cleaning system for recycling in Blantyre, Malawi",0,0,0,0,0,18,72,66,50,29,27,23,36,34,20,19,35,33,51,15
Tipping aid for loading small trucks on waste collection tours,0,0,0,81,23,32,22,16,16,15,15,18,15,9,9,16,7,7,31,3
"Feasibility of Waste Maize Husk Valorization as a Plastic Plate Replacement in Durban, South Africa",4,6,8,19,10,9,11,7,9,12,9,13,11,8,8,8,7,9,15,3
Investigating the Optimization Potential of Brick Clamps in Malawi,11,7,7,16,2,1,3,2,3,4,6,3,5,1,0,3,0,0,8,1
Inclusion of Malawian Youth in Higher Education,11,21,22,17,19,12,3,14,7,7,5,15,13,17,27,18,18,18,22,6
Psychosocial factors associated with intention to pursue tertiary education among Malawian students: The moderating effect of mental health,1,0,3,3,5,3,0,3,5,6,3,18,4,3,6,7,2,2,3,1
"The Development of a Recycled Plastic Wheel for Cardboard Collector Trollies - Improving the working conditions of informal cardboard recyclers in Durban, South Africa",8,11,10,21,10,8,11,15,12,14,14,16,12,13,8,5,13,7,8,3
Microcontroller Based Particulate Matter Monitors Utilising the Alphasense OPC-N3,0,0,0,0,0,0,0,0,0,0,13,26,20,22,17,15,17,10,21,7
Solar Water Heater Modeling for Fecal Sludge Pasteurization,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,3,13,5,11,5
"Suitability of the Modified Bardenpho process for faecal sludge treatment in Kumasi, Ghana",13,11,14,27,13,9,33,20,99,23,16,15,16,12,15,19,18,16,35,7
"Waste Characterization, Quantification and Composting in Cape Maclear - Malawi",0,0,0,0,0,0,0,0,0,0,0,0,49,29,28,16,22,17,30,6
Solar Pasteurisation for Anaerobic Digestion Sludge,0,0,0,0,0,0,0,0,0,0,0,0,0,56,33,16,24,11,26,11
System Parameter Analysis of a Biogas-Powered Faecal Sludge Pasteuriser,0,0,0,0,0,0,0,0,0,0,0,0,0,36,14,16,18,40,23,8
"Off-Grid Trash Screen Design for a Fecal Sludge Treatment Plant in Blantyre, Malawi",0,0,0,0,0,0,0,0,0,0,0,39,28,20,9,8,21,12,28,3
"Technical Documentation: Design of an HDPE bottle collection and pre-cleaning system for recycling in Blantyre, Malawi",0,0,0,0,0,0,0,0,0,0,12,3,4,8,1,3,7,1,2,3
"Technical Documentation: Low-Cost Glass Crusher for Cape Maclear, Malawi: Design, Maintenance, Operation, and Results",0,0,0,0,0,0,0,0,0,0,22,5,4,6,0,3,10,4,9,3
Data Logger for Remote Monitoring of Biogas,0,0,0,0,0,0,0,0,0,0,20,33,7,8,2,4,7,4,7,1
"Technical Documentation: Development of a Low-Cost Incinerator in Cape Maclear, Malawi",0,0,0,0,0,0,0,0,0,0,18,23,11,9,2,6,7,3,4,1
Guidelines for Low-Cost Incineration Systems,0,0,0,0,0,0,0,0,0,0,23,64,22,16,14,31,10,15,9,9
"Willingness to Pay and Economic Feasibility for Waste Management in Cape Maclear, Malawi",0,0,0,0,0,0,0,0,0,0,0,0,182,192,120,16,18,26,20,5
Development of a Monitoring Device for Improved Cookstoves,0,0,0,0,0,0,0,0,0,0,0,0,0,29,10,14,20,7,14,2
"Optimizing Municipal Solid Waste Management in Blantyre, Malawi using Mixed-Integer Linear Programming",0,0,0,0,0,0,0,0,0,0,0,0,17,14,13,20,17,14,11,3
Community-wide Waste Management System for Cape Maclear,0,0,0,0,0,0,0,0,0,0,0,0,71,35,4,5,13,6,26,3
"Construction of a Glass Crusher and Evaluation of Waste Valorization Pathways for Cape Maclear, Malawi",0,0,0,0,0,0,0,0,0,27,33,18,32,17,15,13,23,18,19,6
"Waste Logistics and Transport Modelling in Cape Maclear, Malawi",0,0,0,0,0,0,0,0,0,0,25,22,29,26,12,8,13,10,21,5
"Advancements in and Integration of Water, Sanitation, and Solid Waste for Low- and Middle-Income Countries",2,3,1,0,0,0,0,0,2,7,4,18,5,14,14,27,9,8,5,6
Seasonal Preferences and Alternatives for Domestic Water Sources: A Prospective Cohort Study in Malawi,0,0,0,1,1,0,0,1,5,1,1,2,3,1,2,3,0,0,0,0
Impact of sampling depth on pathogen detection in pit latrines,1,0,2,1,1,2,0,1,3,9,1,1,2,2,1,1,0,5,2,2
"As South Africa's cities burn: we can clean-up, but we cannot sweep away inequality",2,2,5,7,6,3,3,3,9,7,5,1,5,3,2,7,8,6,2,2
Financial and operational sustainability of a gravity-fed rural piped water supply system in Malawi,0,2,5,0,0,3,0,1,8,4,1,25,11,16,15,25,6,12,9,4
"Poverty, politics and plastic: Organic waste sorting in Blantyre's public markets",1,0,0,2,0,2,2,1,5,7,1,1,3,3,2,2,1,4,7,0
Evaluating self-reported measures and alternatives to monitor access to drinking water: A case study in Malawi,1,1,1,0,0,0,0,0,2,1,2,7,1,8,3,1,0,0,0,1
“Everything continued as normal”: What happened to Africa’s wave of Covid-19 waste?,1,0,0,1,0,0,0,0,1,3,2,10,3,4,1,1,0,0,4,1
Household practices in accessing drinking water and post collection contamination: A seasonal cohort study in Malawi,0,0,0,2,0,0,0,0,3,1,1,1,3,2,0,2,0,2,1,1
"Sludge bomb: The impending sludge emptying and treatment crisis in Blantyre, Malawi",2,0,0,2,0,2,1,0,1,2,4,12,2,3,1,3,0,1,1,0
"Innovating traditional building materials in Chembe, Malawi: assessing post-consumer waste glass and burnt clay bricks for performance and circularity",2,1,0,1,0,3,0,1,3,3,2,2,2,2,1,2,0,5,0,0
"Pit emptying subsidy vouchers: a two-phased targeting and structuring experiment in Blantyre, Malawi",2,0,1,3,0,1,0,1,8,4,3,1,4,2,2,3,0,5,8,1
"“My Flight Arrives at 5 am, Can You Pick Me Up?”: The Gatekeeping Burden of the African Academic",0,0,0,0,0,0,0,0,0,0,7,3,4,2,3,2,0,6,14,1
The Cost of Plastics in Compost,1,1,3,1,0,1,3,3,2,7,3,2,5,1,1,1,0,3,0,0
Assessment of Decontamination and Reuse of Disposable Filter Funnels Used in Microbiological Water Quality Tests,3,0,1,2,1,3,0,3,5,2,1,4,2,2,1,3,0,5,1,0
Phosphorus flow analysis for Malawi: Identifying potential sources of renewable phosphorus recovery,3,1,3,1,0,4,0,3,2,13,1,3,4,3,1,3,2,4,1,0
“Where does it go?”: Perceptions and problems of riverine and marine litter amongst South Africa and Malawi’s urban poor,0,1,0,2,1,0,0,2,6,3,5,21,6,12,14,23,9,9,9,2
"""We are from there, that's our land"": contestation, maize, and the problemisation of waste at Blantyre, Malawi's Mzedi dumpsite",2,2,6,4,2,4,2,2,5,7,6,2,9,2,1,1,3,3,4,0
"Process Evaluation of ""The Hygienic Family"" Intervention: A Community-Based Water, Sanitation, and Hygiene Project in Rural Malawi",1,0,0,2,4,0,2,1,6,7,0,2,4,8,1,3,1,1,2,0
"Absorption Ångström Exponent Values to Identify Light-absorbing Carbonaceous Aerosol Sources in Blantyre, Malawi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,2,10,2
"""It is unbearable to breathe here"": air quality, open incineration, and misinformation in Blantyre, Malawi",0,0,0,0,0,0,6,2,3,8,3,1,5,5,1,1,0,2,6,2
"""You need to dispose of them somewhere safe"": Covid-19, masks, and the pit latrine in Malawi and South Africa",0,1,0,2,3,2,0,0,2,4,6,26,14,13,9,10,4,7,14,3
Psychosocial factors associated with intention to pursue tertiary education among Malawian students: the moderating effect of mental health,0,0,0,0,0,15,2,1,5,2,2,2,4,4,9,3,0,2,1,1
From potential to practice: rethinking Africa’s biogas revolution,0,0,3,4,2,7,4,6,5,7,1,1,4,2,2,5,2,4,5,1
"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",0,0,0,3,0,1,0,2,2,11,5,2,1,3,1,3,0,3,4,1
"Blood flows: mapping journeys of menstrual waste in Blantyre, Malawi",2,1,0,0,1,3,0,3,2,3,4,7,11,6,2,1,0,1,6,0
Does Poor Mental Health Impair the Effectiveness of Complementary Food Hygiene Behavior Change Intervention in Rural Malawi?,0,0,0,2,0,1,0,4,2,2,1,33,14,12,15,23,6,8,8,1
"Conceptualising Reuse in African Households: Perspectives from Chembe, Malawi",1,1,2,1,2,1,0,2,3,5,3,4,4,1,1,2,0,2,3,2
Microbial community function and bacterial pathogen composition in pit latrines in peri-urban Malawi,0,0,0,0,11,3,1,1,2,4,2,2,5,3,0,1,0,1,6,2
A sustainable alternative to traditional building materials: assessing stabilised soil blocks for performance and cost in Malawi,1,0,1,1,2,3,0,1,4,3,3,27,10,13,6,7,6,10,14,8
"""The rich will always be able to dispose of their waste"": a view from the frontlines of municipal failure in Makhanda, South Africa",0,0,0,0,0,0,0,0,0,0,12,26,18,15,13,28,6,5,20,3
"Becoming 'Swiss': waste management integration among Ethiopian and Eritrean migrants in Zürich, Switzerland",0,0,0,0,0,0,0,0,0,0,0,9,9,5,0,3,6,1,2,0
From failure to fairness: A call for accountability within household biogas development,0,0,0,0,0,0,0,0,0,5,3,0,2,0,0,0,7,1,2,1
Designing sensor technology for estimating CO2 reductions through the adoption and use of improved cookstoves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,46,24
Exploring Injection Molding for the  Development of a Sensor Casings in Biogas  Monitoring System,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,13
Optimizing the HDPE recycling process for ArtMalawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4
"Evaluating the potential of Extended Producer Responsibility returns for a small local waste collection company through a brand audit of riverine plastic waste in Durban, South Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7
Examination of the potential for recycling of absorbent hygiene product waste in South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9
Developing a turbidity sensor to enhance dewatering of blackwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19
Sensing improved cookstoves to estimate CO2 emission reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,16
Black Carbon Monitor: Feasibility of a Low-Cost Application,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12
Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Measuring Effluent Flow in a Biogas Digester: A Practical and Affordable Tipping Bucket Design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Design and Optimization of a Biogas Burner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Transforming Waste into Value: A Study on PET Recycling for Insulation Solutions in Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Land use in the Seychelles – Rethinking the Sustainability of Tourism: Appendix,0,0,0,0,0,0,46,13,8,13,12,8,7,6,3,11,11,10,6,4
