item,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04
"As South Africa's cities burn: we can clean-up, but we cannot sweep away inequality",3,3,6,1,0,1,3,1,3,2,3,3,5,2,5,3,1,6,3,1
Assessment of Decontamination and Reuse of Disposable Filter Funnels Used in Microbiological Water Quality Tests,4,2,3,8,6,5,1,3,7,5,2,4,6,1,5,2,3,7,2,2
Barriers to Waste Management Services Integration for Ethiopian and Eritrean Migrants within the City of Zürich,0,2,2,1,1,10,3,9,1,2,1,0,4,0,1,2,0,0,28,1
"bcsa: Data for source-apportionment of light absorbing carbon in Blantyre, Malawi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Becoming 'Swiss': waste management integration among Ethiopian and Eritrean migrants in Zürich, Switzerland",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,1
Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,5,8,4,4,2,3,3,2,0,1,1,2,6,4,0,1,1,0,2,1
biogasoutcomesmalawi: Data for 61 semi-structured interviews with biogas owners in Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Carbon Monitor: Feasibility of a Low-Cost Application,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Blood flows: mapping journeys of menstrual waste in Blantyre, Malawi",4,1,1,1,3,3,6,2,1,1,1,0,1,0,3,0,2,3,8,0
Community-wide Waste Management System for Cape Maclear,0,0,0,0,0,0,0,0,0,0,0,0,56,32,3,4,4,3,7,1
"Conceptualising Reuse in African Households: Perspectives from Chembe, Malawi",1,3,3,1,2,0,4,3,4,3,0,4,0,3,2,5,2,2,4,1
"Construction of a Glass Crusher and Evaluation of Waste Valorization Pathways for Cape Maclear, Malawi",0,0,0,0,0,0,0,0,0,6,3,5,13,9,2,4,3,7,2,2
Consumption: the missing link towards phosphorus security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Logger for Remote Monitoring of Biogas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Design and Optimization of a Biogas Burner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Design and Validation of a Thermal Disinfection Unit for Wastewater using Biogas in Humanitarian Crisis Situations,9,6,7,14,3,7,3,12,1,1,6,17,3,1,3,7,5,9,15,0
"Design of an HDPE bottle collection and pre-cleaning system for recycling in Blantyre, Malawi",0,0,0,0,0,10,54,46,27,16,6,13,12,20,18,13,16,17,19,0
Designing a manual press for blackwater dewatering,0,0,0,0,11,15,18,38,20,16,8,12,8,3,5,18,5,7,14,2
Designing a small-scale screw press for blackwater dewatering,7,1,5,8,4,5,9,7,7,1,2,2,16,2,0,5,1,5,7,1
Designing sensor technology for estimating CO2 reductions through the adoption and use of improved cookstoves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detection of Contamination in Biowaste,0,0,0,0,23,10,12,13,9,20,5,23,6,14,6,9,6,5,10,3
Developing a turbidity sensor to enhance dewatering of blackwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Development of a Low-Cost Incinerator in Cape Maclear, Malawi",0,0,0,0,0,0,0,0,0,0,6,17,9,8,5,1,5,15,9,0
Development of a Monitoring Device for Improved Cookstoves,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,5,10,2,2,0
Does Poor Mental Health Impair the Effectiveness of Complementary Food Hygiene Behavior Change Intervention in Rural Malawi?,0,1,0,2,0,0,2,2,3,1,1,2,3,3,2,2,0,1,8,0
durbanplasticwaste: Durban (South Africa) Plastic Waste Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effect of fruit and vegetable waste on anaerobic digestion using faecal sludge as primary feedstock,8,6,11,26,10,12,6,9,3,15,7,2,2,3,4,9,12,2,5,3
"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",0,1,0,2,0,0,0,2,1,2,4,6,0,5,1,2,0,1,6,1
Energy production of Black Soldier Fly Larvae: Measuring the temperature increase in air induced by Black Soldier Flies throughout their larval stages,31,19,42,21,15,14,31,33,19,37,41,23,20,26,26,21,10,23,42,4
Evaluating self-reported measures and alternatives to monitor access to drinking water: A case study in Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evaluating the potential of Extended Producer Responsibility returns for a small local waste collection company through a brand audit of riverine plastic waste in Durban, South Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
Evaluation of the waste management system at the Züri Fäscht,0,0,0,0,20,20,15,9,13,12,26,23,11,23,27,20,15,12,14,12
Examination of the potential for recycling of absorbent hygiene product waste in South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Experimental Optimization of a Peristaltic Pump Prototype for Pit-Emptying,0,0,0,0,0,2,14,16,19,19,4,6,8,2,4,10,5,7,7,2
Exploring Injection Molding for the  Development of a Sensor Casings in Biogas  Monitoring System,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
"Feasibility of Waste Maize Husk Valorization as a Plastic Plate Replacement in Durban, South Africa",1,1,1,0,1,1,0,0,0,1,0,2,1,1,1,1,3,0,2,1
Financial and operational sustainability of a gravity-fed rural piped water supply system in Malawi,3,2,12,3,1,4,3,1,3,16,1,1,1,6,3,9,1,5,6,0
From failure to fairness: A call for accountability within household biogas development,0,0,0,0,0,0,0,0,0,1,15,8,6,17,5,9,5,8,7,5
From potential to practice: rethinking Africa’s biogas revolution,1,2,13,4,1,3,2,5,1,14,10,2,1,7,5,34,7,8,5,1
Guidelines for Low-Cost Incineration Systems,0,0,0,0,0,0,0,0,0,0,0,3,3,1,5,15,5,2,6,5
Household practices in accessing drinking water and post collection contamination: A seasonal cohort study in Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humanitarian Sanitation Solution,4,6,17,13,5,3,8,14,1,1,2,5,2,3,1,1,2,13,7,3
Impact of sampling depth on pathogen detection in pit latrines,0,0,4,0,1,1,1,0,3,3,3,2,1,3,1,1,0,2,1,1
"Improving Market Wash Stations Through Creative and Contextual Design in Durban, South Africa",10,21,6,3,19,11,30,14,19,8,6,1,4,2,6,4,5,18,13,5
Inclusion of Malawian Youth in Higher Education,4,5,5,7,6,2,9,13,10,5,12,4,3,6,16,13,0,7,12,2
"Innovating traditional building materials in Chembe, Malawi: assessing post-consumer waste glass and burnt clay bricks for performance and circularity",7,1,2,4,4,2,5,11,2,4,0,1,1,1,2,8,2,4,0,1
Investigating the Optimization Potential of Brick Clamps in Malawi,10,15,10,9,4,5,18,7,6,11,9,23,17,10,18,6,14,8,18,5
Is Switzerland spending its climate funds wisely?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Land use in the Seychelles – Rethinking the Sustainability of Tourism,0,0,0,0,0,0,0,37,21,19,17,18,22,12,32,26,27,47,52,7
Land use in the Seychelles – Rethinking the Sustainability of Tourism: Appendix,0,0,0,0,0,0,12,15,6,12,10,0,2,3,0,5,2,3,3,1
Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Low-cost compost screening technology to improve trash separation,8,7,2,4,12,4,5,12,21,21,4,10,11,13,8,3,5,3,14,2
Measuring Effluent Flow in a Biogas Digester: A Practical and Affordable Tipping Bucket Design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Microbial community function and bacterial pathogen composition in pit latrines in peri-urban Malawi,0,0,0,0,1,2,0,0,0,1,0,2,4,0,1,3,0,1,2,1
Microcontroller Based Particulate Matter Monitors Utilising the Alphasense OPC-N3,0,0,0,0,0,0,0,0,0,0,3,7,3,5,4,1,6,2,9,3
"Off-Grid Trash Screen Design for a Fecal Sludge Treatment Plant in Blantyre, Malawi",0,0,0,0,0,0,0,0,0,0,0,9,18,7,1,1,9,4,23,2
"Optimization of solid waste collections in Blantyre, Malawi",33,21,19,10,86,32,38,31,22,16,17,4,10,13,10,7,19,18,11,10
"Optimizing Municipal Solid Waste Management in Blantyre, Malawi using Mixed-Integer Linear Programming",0,0,0,0,0,0,0,0,0,0,0,0,6,14,8,9,6,14,1,1
Optimizing the HDPE recycling process for ArtMalawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3
"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,5,10,12,7,4
Phosphorus flow analysis for Malawi: Identifying potential sources of renewable phosphorus recovery,0,2,7,1,0,1,4,6,4,3,0,4,2,2,2,4,0,5,4,1
"Pit emptying subsidy vouchers: a two-phased targeting and structuring experiment in Blantyre, Malawi",0,4,3,5,4,0,3,0,1,6,0,3,1,0,4,1,0,2,0,2
"Poverty, politics and plastic: Organic waste sorting in Blantyre's public markets",1,1,3,4,0,0,0,3,3,2,0,0,0,2,1,0,0,3,12,11
"Process Evaluation of ""The Hygienic Family"" Intervention: A Community-Based Water, Sanitation, and Hygiene Project in Rural Malawi",0,0,0,2,1,0,4,1,1,6,2,1,3,3,3,1,2,1,2,0
Psychosocial factors associated with intention to pursue tertiary education among Malawian students: The moderating effect of mental health,4,2,2,1,2,0,2,1,3,2,2,0,1,0,1,1,0,1,0,1
Psychosocial factors associated with intention to pursue tertiary education among Malawian students: the moderating effect of mental health,0,0,0,0,0,1,1,1,3,1,1,0,2,3,6,3,1,1,0,2
"qechairquality: Air Quality Data at Queen Elizabeth Central Hospital (QECH), Blantyre, Malawi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Research Beyond the Lab, Spring Term 2022, Global Health Engineering, ETH Zurich",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seasonal Preferences and Alternatives for Domestic Water Sources: A Prospective Cohort Study in Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Self-cleaning Preliminary Screening Mechanisms to Improve Health and Wastewater Treatment Efficiency in Low-income Countries,1,2,0,1,1,6,9,5,2,7,5,1,2,3,2,3,1,5,4,0
Sensing improved cookstoves to estimate CO2 emission reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sludge bomb: The impending sludge emptying and treatment crisis in Blantyre, Malawi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar Pasteurisation for Anaerobic Digestion Sludge,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13,14,10,1,11,4
Solar Water Heater Modeling for Fecal Sludge Pasteurization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Suitability of the Modified Bardenpho process for faecal sludge treatment in Kumasi, Ghana",3,3,0,3,1,0,16,2,80,9,5,2,5,8,5,6,7,7,16,4
System Parameter Analysis of a Biogas-Powered Faecal Sludge Pasteuriser,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,6,7,21,10,1
"Technical Documentation: Design of an HDPE bottle collection and pre-cleaning system for recycling in Blantyre, Malawi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Technical Documentation: Development of a Low-Cost Incinerator in Cape Maclear, Malawi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Technical Documentation: Low-Cost Glass Crusher for Cape Maclear, Malawi: Design, Maintenance, Operation, and Results",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Cost of Plastics in Compost,0,4,5,2,0,0,4,2,1,3,9,11,4,5,5,1,4,5,4,2
"The Development of a Recycled Plastic Wheel for Cardboard Collector Trollies - Improving the working conditions of informal cardboard recyclers in Durban, South Africa",2,2,0,2,1,1,2,5,0,1,7,3,2,2,1,1,0,5,0,0
The Establishment of an Absorbent Hygiene Product Waste Collection System in Two Informal Settlements in South Africa,0,0,0,0,0,0,0,10,17,8,8,10,22,22,16,15,14,7,23,1
Thermal Analysis and Optimization Potential of Clamp Kilns for Fired Clay Brick Production,0,0,0,0,0,0,0,6,0,4,4,3,2,1,1,2,0,0,2,1
Tipping aid for loading small trucks on waste collection tours,0,0,0,40,16,10,3,11,3,8,5,17,1,1,1,6,2,5,20,2
Transforming Waste into Value: A Study on PET Recycling for Insulation Solutions in Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Urine Collection Trolley for Informal Markets in Durban, South Africa",4,4,9,3,6,1,6,39,2,1,3,13,4,4,4,3,4,0,6,2
"Waste Characterization, Quantification and Composting in Cape Maclear - Malawi",0,0,0,0,0,0,0,0,0,0,0,0,11,24,30,12,10,12,19,7
"Waste Logistics and Transport Modelling in Cape Maclear, Malawi",0,0,0,0,0,0,0,0,0,0,4,10,14,14,10,2,2,8,3,1
"wasteskipsblantyre: Locations of Public Waste Skips in Blantyre, Malawi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Willingness to Pay and Economic Feasibility for Waste Management in Cape Maclear, Malawi",0,0,0,0,0,0,0,0,0,0,0,0,15,22,18,10,15,31,38,6
